TeamName,GitLink,LLM
103,https://github.com/D-Moncef/TP_IGL,mistral-large-latest
AgentCore,https://github.com/Camelia-Tribeche/Refactoring-Swarm-Equipe-34,Gemini 2.5 Flash
AgentForge,https://github.com/Meriem7705/Refactoring-Swarm-Equipe-44.git,Gemini 2.5 Flash
AgentMelio,https://github.com/redouane-bensaci/Refactoring-Swarm-Equipe-22,mistralai/devstral-2512:free
aiAgentsBuilders,https://github.com/Ayaaya18/Refactoring-Swarm-Equipe-31,Llama-3.1-8B-Instant
AIgile,https://github.com/hadiiiillll/Refactoring-Swarm-Equipe-30.git,gemma-3-27b-it
AIvalkyries,https://github.com/benzidane-maroua/Refactoring-Swarm-Equipe-49,deepseek-coder
amaterasu,https://github.com/ademkhalilgrioune/Refactoring-Swarm-Amaterasu,llama-3.3-70b-versatile
code4ce,https://github.com/pedros18/refarctoring-swarm-llm-equipe-57,Gemini 2.0 Flash
codeCrashers,https://github.com/labdelaoui8ahlem/Refactoring-Swarm-Code-Crashers,llama-3.3-70b-versatile
codeHealers,https://github.com/T-abderrahmane/Refactoring-Swarm-Equipe-47,Gemini 2.5 Flash
CodeHive,https://github.com/Leila-Serine/Refactoring-Swarm-Equipe-33,Gemini 2.5 Flash
CSCO,https://github.com/cirinetougherghi/Refactoring-Swarm-Equipe-17,Gemini 2.5 Flash
Demogorgans,https://github.com/Alaa-Didi12/Refactoring-Swarm-Equipe-Demogorgans,Gemini 2.5 Flash
Devgirl,https://github.com/rouaelah/Refactoring-Swarm-Equipe-Devgirl.git,Gemini 1.5 flash
DevGirls,https://github.com/sirinemek/Refactoring-Swarm-Equipe-2,Gemini 2.5 Flash
dokTban,https://github.com/y8w3ly/refactoring-swarm-equipe18.git,Gemini 2.5 Flash
edm,https://github.com/tarek-ait/refactoring-swarm-template,Mistral
EldenAgents,https://github.com/id-drias/Refactoring-Swarm-Equipe-45.git,Gemini 2.5 Flash
ElEquipe,https://github.com/WaelYTz/Refactoring-Swarm-El-equipe,Gemini 2.5 Flash
ElFari9,https://github.com/0xkryvon/tp-igl-refactoring-swarm.git,Gemini 2.5 Flash
eloussoud,https://github.com/RahimSarah/refactoring-swarm-el-oussoud.git,mistral-large-latest
