Team_number,Team_name,hidden_id,Python_Level,AI_Usage_for_Coding,Unit_Tests,GitHub_Author
1,S2A2 ,Student_001,3,Often (to generate functions),"No, never",SouabniAya
1,S2A2 ,Student_002,3,Systematically (Copilot/GPT is always open),"No, never",ayakmr
1,S2A2 ,Student_003,3,Often (to generate functions),"No, never",sihemoml
1,S2A2 ,Student_004,3,Often (to generate functions),"No, never",idriskhodjasarah
2,DevGirls,Student_005,2,Often (to generate functions),"No, never",chelmounasmaa
2,DevGirls,Student_006,1,Often (to generate functions),"No, never",
2,DevGirls,Student_007,3,Often (to generate functions),"Yes, a little",sirinemek
2,DevGirls,Student_008,1,Often (to generate functions),"No, never",
3,s3m4ph0res,Student_009,3,Rarely (to explain an error),"No, never",Gallifrey00
3,s3m4ph0res,Student_010,3,Systematically (Copilot/GPT is always open),"No, never",BouferkasHicham
3,s3m4ph0res,Student_011,3,Often (to generate functions),"No, never",0x7EF
3,s3m4ph0res,Student_012,5,Never,"Yes, regularly",Mohammed-Nedjima
4,Semaphore,Student_013,1,Often (to generate functions),"No, never",Rayane-Bn
4,Semaphore,Student_014,1,Often (to generate functions),"No, never",
4,Semaphore,Student_015,1,Often (to generate functions),"No, never",nagueham-collab
4,Semaphore,Student_016,1,Often (to generate functions),"No, never",tiberkak-MO
5,Flip,Student_017,2,Systematically (Copilot/GPT is always open),"No, never",boulanouarmohamed1
5,Flip,Student_018,2,Systematically (Copilot/GPT is always open),"No, never",bougroura-achref
5,Flip,Student_019,2,Systematically (Copilot/GPT is always open),"No, never",Louaighoul
5,Flip,Student_020,2,Systematically (Copilot/GPT is always open),"No, never",hamdiniabdebadie
6,Transformers,Student_021,5,Systematically (Copilot/GPT is always open),"No, never",rafa-houssam
6,Transformers,Student_022,2,Systematically (Copilot/GPT is always open),"Yes, regularly",nnbx2k1
6,Transformers,Student_023,3,Systematically (Copilot/GPT is always open),"No, never",Fyl3x
6,Transformers,Student_024,3,Systematically (Copilot/GPT is always open),"Yes, a little",moudjou
7,patchAndPray,Student_025,3,Often (to generate functions),"No, never",
7,patchAndPray,Student_026,2,Rarely (to explain an error),"No, never",
7,patchAndPray,Student_027,2,Often (to generate functions),"No, never",Sid-git399
7,patchAndPray,Student_028,3,Often (to generate functions),"No, never",KhalilBensaha
8,Demogorgans,Student_029,1,Often (to generate functions),"No, never",Alaa-Didi
8,Demogorgans,Student_030,1,Often (to generate functions),"No, never",khaled05sarah
8,Demogorgans,Student_031,1,Often (to generate functions),"No, never",Dalia-Mezerna
8,Demogorgans,Student_032,1,Often (to generate functions),"No, never",yasmine05ben
9,ElFari9,Student_033,4,Often (to generate functions),"Yes, a little",Nabimarwa
9,ElFari9,Student_034,2,Systematically (Copilot/GPT is always open),"No, never",Hicham740
9,ElFari9,Student_035,5,Systematically (Copilot/GPT is always open),"No, never",ounnane-abdelhak
9,ElFari9,Student_036,4,Systematically (Copilot/GPT is always open),"No, never",0xkryvon
10,Expedition33,Student_037,4,Often (to generate functions),"No, never",
